# Extracted-region manifest for the US ROM.
#
# label <address> <name>
#   Declares a symbol at an address that isn't extracted yet (still raw
#   .incbin) but needs to be referenced from code that IS extracted.
#
# <start> <end> <asm-file> <name>
#   A curated, hand-verified extracted region. Boundaries must be fully
#   confirmed (all reachable code walked to genuine termination) before
#   a function earns a row here -- see docs/ for how each was confirmed.
#
# Everything not covered by a region stays as raw .incbin from
# baserom.us.gba, filled in by tools/gen_rom_s.py. The file it generates
# (build/us/rom.s) is never committed, same as everything else in build/.
#
# A row whose asm-file is also listed in regions.jp.txt at the same
# address must be byte-identical in both ROMs at that address (verified,
# not assumed -- see the file itself for how).
#
# The Krawall audio rows below (samples/modules/patterns) are generated by
# tools/extract_krawall.py, not hand-written -- but ARE listed here like
# everything else, one row per region. Their asm-file always ends in
# `.bin`: gen_rom_s.py .incbin's these directly (no wrapper .s needed).
# The .bin files themselves are gitignored (asm/krawall/) and regenerated
# locally by tools/extract_krawall.py before building -- they're the
# game's actual copyrighted audio content, unlike this manifest, which is
# just addresses/names. See docs/formats/krawall.md.
#
# Known gap: a handful of module headers are followed by a real unclaimed
# gap (largest ~22KB) that isn't sample/pattern trailing padding -- every
# sample's and pattern's own trailing padding is fully accounted for by
# exact formulas in extract_krawall.py (asserted, not assumed: it refuses
# to generate if any sample/pattern doesn't land exactly on the next
# region's start). These particular gaps most likely hold additional
# modules that unkrawerter's own discovery never found -- see
# docs/formats/krawall.md's Open questions and Future work. Doesn't
# affect correctness either way (unclaimed bytes just stay as safe raw
# .incbin from the baserom, like any other gap).

label 0x080000C0 _080000C0

0x08000000 0x080000A0 asm/gba_header.s          GBAHeader
0x08AA5034 0x08AA51E4 asm/krawall/us/patterns/KrawallPattern30.bin KrawallPattern30
0x08AA51E4 0x08AA53A8 asm/krawall/us/patterns/KrawallPattern31.bin KrawallPattern31
0x08AA53A8 0x08AA55D4 asm/krawall/us/patterns/KrawallPattern32.bin KrawallPattern32
0x08AA55D4 0x08AA5830 asm/krawall/us/patterns/KrawallPattern33.bin KrawallPattern33
0x08AA5830 0x08AA5A64 asm/krawall/us/patterns/KrawallPattern34.bin KrawallPattern34
0x08AA5A64 0x08AA5C88 asm/krawall/us/patterns/KrawallPattern35.bin KrawallPattern35
0x08AA5C88 0x08AA5E18 asm/krawall/us/patterns/KrawallPattern36.bin KrawallPattern36
0x08AA5E18 0x08AA5FF8 asm/krawall/us/patterns/KrawallPattern37.bin KrawallPattern37
0x08AA5FF8 0x08AA61B0 asm/krawall/us/patterns/KrawallPattern38.bin KrawallPattern38
0x08AA61B0 0x08AA63A0 asm/krawall/us/patterns/KrawallPattern39.bin KrawallPattern39
0x08AA63A0 0x08AA6538 asm/krawall/us/modules/KrawallModule2.bin KrawallModule2
0x08AA6538 0x08AA6BE8 asm/krawall/us/patterns/KrawallPattern40.bin KrawallPattern40
0x08AA6BE8 0x08AA71A4 asm/krawall/us/patterns/KrawallPattern41.bin KrawallPattern41
0x08AA71A4 0x08AA7450 asm/krawall/us/patterns/KrawallPattern42.bin KrawallPattern42
0x08AA7450 0x08AA7794 asm/krawall/us/patterns/KrawallPattern43.bin KrawallPattern43
0x08AA7794 0x08AA7AB4 asm/krawall/us/patterns/KrawallPattern44.bin KrawallPattern44
0x08AA7AB4 0x08AA80F0 asm/krawall/us/patterns/KrawallPattern45.bin KrawallPattern45
0x08AA80F0 0x08AA86BC asm/krawall/us/patterns/KrawallPattern46.bin KrawallPattern46
0x08AA86BC 0x08AA89F8 asm/krawall/us/patterns/KrawallPattern47.bin KrawallPattern47
0x08AA89F8 0x08AA9194 asm/krawall/us/patterns/KrawallPattern48.bin KrawallPattern48
0x08AA9194 0x08AA995C asm/krawall/us/patterns/KrawallPattern49.bin KrawallPattern49
0x08AA995C 0x08AA9E38 asm/krawall/us/patterns/KrawallPattern50.bin KrawallPattern50
0x08AA9E38 0x08AAA4C4 asm/krawall/us/patterns/KrawallPattern51.bin KrawallPattern51
0x08AAA4C4 0x08AAA660 asm/krawall/us/modules/KrawallModule3.bin KrawallModule3
0x08AAA660 0x08AAAA44 asm/krawall/us/patterns/KrawallPattern52.bin KrawallPattern52
0x08AAAA44 0x08AAAFA8 asm/krawall/us/patterns/KrawallPattern53.bin KrawallPattern53
0x08AAAFA8 0x08AAB4BC asm/krawall/us/patterns/KrawallPattern54.bin KrawallPattern54
0x08AAB4BC 0x08AAB83C asm/krawall/us/patterns/KrawallPattern55.bin KrawallPattern55
0x08AAB83C 0x08AABA1C asm/krawall/us/patterns/KrawallPattern56.bin KrawallPattern56
0x08AABA1C 0x08AABD4C asm/krawall/us/patterns/KrawallPattern57.bin KrawallPattern57
0x08AABD4C 0x08AABED0 asm/krawall/us/modules/KrawallModule4.bin KrawallModule4
0x08AABED0 0x08AAC3B4 asm/krawall/us/patterns/KrawallPattern58.bin KrawallPattern58
0x08AAC3B4 0x08AAC904 asm/krawall/us/patterns/KrawallPattern59.bin KrawallPattern59
0x08AAC904 0x08AACEE4 asm/krawall/us/patterns/KrawallPattern60.bin KrawallPattern60
0x08AACEE4 0x08AAD4CC asm/krawall/us/patterns/KrawallPattern61.bin KrawallPattern61
0x08AAD4CC 0x08AADB68 asm/krawall/us/patterns/KrawallPattern62.bin KrawallPattern62
0x08AADB68 0x08AAE1B4 asm/krawall/us/patterns/KrawallPattern63.bin KrawallPattern63
0x08AAE1B4 0x08AAE7E8 asm/krawall/us/patterns/KrawallPattern64.bin KrawallPattern64
0x08AAE7E8 0x08AAEC3C asm/krawall/us/patterns/KrawallPattern65.bin KrawallPattern65
0x08AAEC3C 0x08AAF0D4 asm/krawall/us/patterns/KrawallPattern66.bin KrawallPattern66
0x08AAF0D4 0x08AAF398 asm/krawall/us/patterns/KrawallPattern67.bin KrawallPattern67
0x08AAF398 0x08AAF828 asm/krawall/us/patterns/KrawallPattern68.bin KrawallPattern68
0x08AAF828 0x08AAF908 asm/krawall/us/patterns/KrawallPattern69.bin KrawallPattern69
0x08AAF908 0x08AAFDE8 asm/krawall/us/patterns/KrawallPattern70.bin KrawallPattern70
0x08AAFDE8 0x08AAFF88 asm/krawall/us/modules/KrawallModule5.bin KrawallModule5
0x08AB0B90 0x08AB0E14 asm/krawall/us/patterns/KrawallPattern71.bin KrawallPattern71
0x08AB0E14 0x08AB14A8 asm/krawall/us/patterns/KrawallPattern72.bin KrawallPattern72
0x08AB14A8 0x08AB1A64 asm/krawall/us/patterns/KrawallPattern73.bin KrawallPattern73
0x08AB1A64 0x08AB1F9C asm/krawall/us/patterns/KrawallPattern74.bin KrawallPattern74
0x08AB1F9C 0x08AB2444 asm/krawall/us/patterns/KrawallPattern75.bin KrawallPattern75
0x08AB2444 0x08AB27B8 asm/krawall/us/patterns/KrawallPattern76.bin KrawallPattern76
0x08AB27B8 0x08AB2AD8 asm/krawall/us/patterns/KrawallPattern77.bin KrawallPattern77
0x08AB2AD8 0x08AB2ECC asm/krawall/us/patterns/KrawallPattern78.bin KrawallPattern78
0x08AB2ECC 0x08AB33B4 asm/krawall/us/patterns/KrawallPattern79.bin KrawallPattern79
0x08AB33B4 0x08AB383C asm/krawall/us/patterns/KrawallPattern80.bin KrawallPattern80
0x08AB383C 0x08AB39D0 asm/krawall/us/modules/KrawallModule6.bin KrawallModule6
0x08AB39D0 0x08AB3D28 asm/krawall/us/patterns/KrawallPattern81.bin KrawallPattern81
0x08AB3D28 0x08AB40A4 asm/krawall/us/patterns/KrawallPattern82.bin KrawallPattern82
0x08AB40A4 0x08AB445C asm/krawall/us/patterns/KrawallPattern83.bin KrawallPattern83
0x08AB445C 0x08AB4910 asm/krawall/us/patterns/KrawallPattern84.bin KrawallPattern84
0x08AB4910 0x08AB4DC0 asm/krawall/us/patterns/KrawallPattern85.bin KrawallPattern85
0x08AB4DC0 0x08AB52BC asm/krawall/us/patterns/KrawallPattern86.bin KrawallPattern86
0x08AB52BC 0x08AB57E8 asm/krawall/us/patterns/KrawallPattern87.bin KrawallPattern87
0x08AB57E8 0x08AB5C50 asm/krawall/us/patterns/KrawallPattern88.bin KrawallPattern88
0x08AB5C50 0x08AB5DDC asm/krawall/us/modules/KrawallModule7.bin KrawallModule7
0x08AB5DDC 0x08AB600C asm/krawall/us/patterns/KrawallPattern89.bin KrawallPattern89
0x08AB600C 0x08AB61E0 asm/krawall/us/patterns/KrawallPattern90.bin KrawallPattern90
0x08AB61E0 0x08AB6510 asm/krawall/us/patterns/KrawallPattern91.bin KrawallPattern91
0x08AB6510 0x08AB6858 asm/krawall/us/patterns/KrawallPattern92.bin KrawallPattern92
0x08AB6858 0x08AB6C24 asm/krawall/us/patterns/KrawallPattern93.bin KrawallPattern93
0x08AB6C24 0x08AB7020 asm/krawall/us/patterns/KrawallPattern94.bin KrawallPattern94
0x08AB7020 0x08AB7334 asm/krawall/us/patterns/KrawallPattern95.bin KrawallPattern95
0x08AB7334 0x08AB763C asm/krawall/us/patterns/KrawallPattern96.bin KrawallPattern96
0x08AB763C 0x08AB79CC asm/krawall/us/patterns/KrawallPattern97.bin KrawallPattern97
0x08AB79CC 0x08AB7D98 asm/krawall/us/patterns/KrawallPattern98.bin KrawallPattern98
0x08AB7D98 0x08AB8198 asm/krawall/us/patterns/KrawallPattern99.bin KrawallPattern99
0x08AB8198 0x08AB85C0 asm/krawall/us/patterns/KrawallPattern100.bin KrawallPattern100
0x08AB85C0 0x08AB88E0 asm/krawall/us/patterns/KrawallPattern101.bin KrawallPattern101
0x08AB88E0 0x08AB8BA0 asm/krawall/us/patterns/KrawallPattern102.bin KrawallPattern102
0x08AB8BA0 0x08AB8E9C asm/krawall/us/patterns/KrawallPattern103.bin KrawallPattern103
0x08AB8E9C 0x08AB91A0 asm/krawall/us/patterns/KrawallPattern104.bin KrawallPattern104
0x08AB91A0 0x08AB94BC asm/krawall/us/patterns/KrawallPattern105.bin KrawallPattern105
0x08AB94BC 0x08AB9798 asm/krawall/us/patterns/KrawallPattern106.bin KrawallPattern106
0x08AB9798 0x08AB9B28 asm/krawall/us/patterns/KrawallPattern107.bin KrawallPattern107
0x08AB9B28 0x08AB9E94 asm/krawall/us/patterns/KrawallPattern108.bin KrawallPattern108
0x08AB9E94 0x08ABA414 asm/krawall/us/patterns/KrawallPattern109.bin KrawallPattern109
0x08ABA414 0x08ABA9B8 asm/krawall/us/patterns/KrawallPattern110.bin KrawallPattern110
0x08ABA9B8 0x08ABAB7C asm/krawall/us/modules/KrawallModule8.bin KrawallModule8
0x08AC012C 0x08AC0580 asm/krawall/us/patterns/KrawallPattern111.bin KrawallPattern111
0x08AC0580 0x08AC09F4 asm/krawall/us/patterns/KrawallPattern112.bin KrawallPattern112
0x08AC09F4 0x08AC0EC0 asm/krawall/us/patterns/KrawallPattern113.bin KrawallPattern113
0x08AC0EC0 0x08AC146C asm/krawall/us/patterns/KrawallPattern114.bin KrawallPattern114
0x08AC146C 0x08AC1980 asm/krawall/us/patterns/KrawallPattern115.bin KrawallPattern115
0x08AC1980 0x08AC1B00 asm/krawall/us/modules/KrawallModule9.bin KrawallModule9
0x08AC2818 0x08AC2A7C asm/krawall/us/patterns/KrawallPattern116.bin KrawallPattern116
0x08AC2A7C 0x08AC2D24 asm/krawall/us/patterns/KrawallPattern117.bin KrawallPattern117
0x08AC2D24 0x08AC32CC asm/krawall/us/patterns/KrawallPattern118.bin KrawallPattern118
0x08AC32CC 0x08AC385C asm/krawall/us/patterns/KrawallPattern119.bin KrawallPattern119
0x08AC385C 0x08AC3CB8 asm/krawall/us/patterns/KrawallPattern120.bin KrawallPattern120
0x08AC3CB8 0x08AC4070 asm/krawall/us/patterns/KrawallPattern121.bin KrawallPattern121
0x08AC4070 0x08AC4420 asm/krawall/us/patterns/KrawallPattern122.bin KrawallPattern122
0x08AC4420 0x08AC4778 asm/krawall/us/patterns/KrawallPattern123.bin KrawallPattern123
0x08AC4778 0x08AC4904 asm/krawall/us/modules/KrawallModule10.bin KrawallModule10
0x08AC4904 0x08AC4C0C asm/krawall/us/patterns/KrawallPattern124.bin KrawallPattern124
0x08AC4C0C 0x08AC4F60 asm/krawall/us/patterns/KrawallPattern125.bin KrawallPattern125
0x08AC4F60 0x08AC52F0 asm/krawall/us/patterns/KrawallPattern126.bin KrawallPattern126
0x08AC52F0 0x08AC55B8 asm/krawall/us/patterns/KrawallPattern127.bin KrawallPattern127
0x08AC55B8 0x08AC5738 asm/krawall/us/patterns/KrawallPattern128.bin KrawallPattern128
0x08AC5738 0x08AC5A6C asm/krawall/us/patterns/KrawallPattern129.bin KrawallPattern129
0x08AC5A6C 0x08AC5CD0 asm/krawall/us/patterns/KrawallPattern130.bin KrawallPattern130
0x08AC5CD0 0x08AC6070 asm/krawall/us/patterns/KrawallPattern131.bin KrawallPattern131
0x08AC6070 0x08AC639C asm/krawall/us/patterns/KrawallPattern132.bin KrawallPattern132
0x08AC639C 0x08AC6738 asm/krawall/us/patterns/KrawallPattern133.bin KrawallPattern133
0x08AC6738 0x08AC6AD0 asm/krawall/us/patterns/KrawallPattern134.bin KrawallPattern134
0x08AC6AD0 0x08AC6DF4 asm/krawall/us/patterns/KrawallPattern135.bin KrawallPattern135
0x08AC6DF4 0x08AC7150 asm/krawall/us/patterns/KrawallPattern136.bin KrawallPattern136
0x08AC7150 0x08AC7520 asm/krawall/us/patterns/KrawallPattern137.bin KrawallPattern137
0x08AC7520 0x08AC785C asm/krawall/us/patterns/KrawallPattern138.bin KrawallPattern138
0x08AC785C 0x08AC7A04 asm/krawall/us/modules/KrawallModule11.bin KrawallModule11
0x08AC7A04 0x08AC7F24 asm/krawall/us/patterns/KrawallPattern139.bin KrawallPattern139
0x08AC7F24 0x08AC81BC asm/krawall/us/patterns/KrawallPattern140.bin KrawallPattern140
0x08AC81BC 0x08AC8314 asm/krawall/us/patterns/KrawallPattern141.bin KrawallPattern141
0x08AC8314 0x08AC852C asm/krawall/us/patterns/KrawallPattern142.bin KrawallPattern142
0x08AC852C 0x08AC87C8 asm/krawall/us/patterns/KrawallPattern143.bin KrawallPattern143
0x08AC87C8 0x08AC89E4 asm/krawall/us/patterns/KrawallPattern144.bin KrawallPattern144
0x08AC89E4 0x08AC8DD4 asm/krawall/us/patterns/KrawallPattern145.bin KrawallPattern145
0x08AC8DD4 0x08AC91C8 asm/krawall/us/patterns/KrawallPattern146.bin KrawallPattern146
0x08AC91C8 0x08AC9600 asm/krawall/us/patterns/KrawallPattern147.bin KrawallPattern147
0x08AC9600 0x08AC99D4 asm/krawall/us/patterns/KrawallPattern148.bin KrawallPattern148
0x08AC99D4 0x08AC9E0C asm/krawall/us/patterns/KrawallPattern149.bin KrawallPattern149
0x08AC9E0C 0x08ACA128 asm/krawall/us/patterns/KrawallPattern150.bin KrawallPattern150
0x08ACA128 0x08ACA51C asm/krawall/us/patterns/KrawallPattern151.bin KrawallPattern151
0x08ACA51C 0x08ACA6BC asm/krawall/us/modules/KrawallModule12.bin KrawallModule12
0x08ACA6BC 0x08ACAC9C asm/krawall/us/patterns/KrawallPattern152.bin KrawallPattern152
0x08ACAC9C 0x08ACB1E4 asm/krawall/us/patterns/KrawallPattern153.bin KrawallPattern153
0x08ACB1E4 0x08ACB814 asm/krawall/us/patterns/KrawallPattern154.bin KrawallPattern154
0x08ACB814 0x08ACBC00 asm/krawall/us/patterns/KrawallPattern155.bin KrawallPattern155
0x08ACBC00 0x08ACBFFC asm/krawall/us/patterns/KrawallPattern156.bin KrawallPattern156
0x08ACBFFC 0x08ACC4A4 asm/krawall/us/patterns/KrawallPattern157.bin KrawallPattern157
0x08ACC4A4 0x08ACC75C asm/krawall/us/patterns/KrawallPattern158.bin KrawallPattern158
0x08ACC75C 0x08ACC8E4 asm/krawall/us/modules/KrawallModule13.bin KrawallModule13
0x08ACC8E4 0x08ACC9DC asm/krawall/us/patterns/KrawallPattern159.bin KrawallPattern159
0x08ACC9DC 0x08ACCB34 asm/krawall/us/patterns/KrawallPattern160.bin KrawallPattern160
0x08ACCB34 0x08ACCF90 asm/krawall/us/patterns/KrawallPattern161.bin KrawallPattern161
0x08ACCF90 0x08ACD254 asm/krawall/us/patterns/KrawallPattern162.bin KrawallPattern162
0x08ACD254 0x08ACD8A8 asm/krawall/us/patterns/KrawallPattern163.bin KrawallPattern163
0x08ACD8A8 0x08ACDC34 asm/krawall/us/patterns/KrawallPattern164.bin KrawallPattern164
0x08ACDC34 0x08ACDFDC asm/krawall/us/patterns/KrawallPattern165.bin KrawallPattern165
0x08ACDFDC 0x08ACE538 asm/krawall/us/patterns/KrawallPattern166.bin KrawallPattern166
0x08ACE538 0x08ACE9A4 asm/krawall/us/patterns/KrawallPattern167.bin KrawallPattern167
0x08ACE9A4 0x08ACEEF0 asm/krawall/us/patterns/KrawallPattern168.bin KrawallPattern168
0x08ACEEF0 0x08ACF33C asm/krawall/us/patterns/KrawallPattern169.bin KrawallPattern169
0x08ACF33C 0x08ACF940 asm/krawall/us/patterns/KrawallPattern170.bin KrawallPattern170
0x08ACF940 0x08ACFE60 asm/krawall/us/patterns/KrawallPattern171.bin KrawallPattern171
0x08ACFE60 0x08AD02C4 asm/krawall/us/patterns/KrawallPattern172.bin KrawallPattern172
0x08AD02C4 0x08AD0800 asm/krawall/us/patterns/KrawallPattern173.bin KrawallPattern173
0x08AD0800 0x08AD0D50 asm/krawall/us/patterns/KrawallPattern174.bin KrawallPattern174
0x08AD0D50 0x08AD10C8 asm/krawall/us/patterns/KrawallPattern175.bin KrawallPattern175
0x08AD10C8 0x08AD13E0 asm/krawall/us/patterns/KrawallPattern176.bin KrawallPattern176
0x08AD13E0 0x08AD1678 asm/krawall/us/patterns/KrawallPattern177.bin KrawallPattern177
0x08AD1678 0x08AD1754 asm/krawall/us/patterns/KrawallPattern178.bin KrawallPattern178
0x08AD1754 0x08AD1910 asm/krawall/us/modules/KrawallModule14.bin KrawallModule14
0x08AD1910 0x08AD1DFC asm/krawall/us/patterns/KrawallPattern179.bin KrawallPattern179
0x08AD1DFC 0x08AD231C asm/krawall/us/patterns/KrawallPattern180.bin KrawallPattern180
0x08AD231C 0x08AD2838 asm/krawall/us/patterns/KrawallPattern181.bin KrawallPattern181
0x08AD2838 0x08AD2D9C asm/krawall/us/patterns/KrawallPattern182.bin KrawallPattern182
0x08AD2D9C 0x08AD32F4 asm/krawall/us/patterns/KrawallPattern183.bin KrawallPattern183
0x08AD32F4 0x08AD383C asm/krawall/us/patterns/KrawallPattern184.bin KrawallPattern184
0x08AD383C 0x08AD3D88 asm/krawall/us/patterns/KrawallPattern185.bin KrawallPattern185
0x08AD3D88 0x08AD429C asm/krawall/us/patterns/KrawallPattern186.bin KrawallPattern186
0x08AD429C 0x08AD47C8 asm/krawall/us/patterns/KrawallPattern187.bin KrawallPattern187
0x08AD47C8 0x08AD4CA4 asm/krawall/us/patterns/KrawallPattern188.bin KrawallPattern188
0x08AD4CA4 0x08AD517C asm/krawall/us/patterns/KrawallPattern189.bin KrawallPattern189
0x08AD517C 0x08AD5644 asm/krawall/us/patterns/KrawallPattern190.bin KrawallPattern190
0x08AD5644 0x08AD57E0 asm/krawall/us/modules/KrawallModule15.bin KrawallModule15
0x08AD57E0 0x08AD5D84 asm/krawall/us/patterns/KrawallPattern191.bin KrawallPattern191
0x08AD5D84 0x08AD62DC asm/krawall/us/patterns/KrawallPattern192.bin KrawallPattern192
0x08AD62DC 0x08AD6548 asm/krawall/us/patterns/KrawallPattern193.bin KrawallPattern193
0x08AD6548 0x08AD66D4 asm/krawall/us/patterns/KrawallPattern194.bin KrawallPattern194
0x08AD66D4 0x08AD6CB8 asm/krawall/us/patterns/KrawallPattern195.bin KrawallPattern195
0x08AD6CB8 0x08AD6E38 asm/krawall/us/modules/KrawallModule16.bin KrawallModule16
0x08AD6E38 0x08AD7210 asm/krawall/us/patterns/KrawallPattern196.bin KrawallPattern196
0x08AD7210 0x08AD75A8 asm/krawall/us/patterns/KrawallPattern197.bin KrawallPattern197
0x08AD75A8 0x08AD7980 asm/krawall/us/patterns/KrawallPattern198.bin KrawallPattern198
0x08AD7980 0x08AD7D54 asm/krawall/us/patterns/KrawallPattern199.bin KrawallPattern199
0x08AD7D54 0x08AD7ED0 asm/krawall/us/modules/KrawallModule17.bin KrawallModule17
0x08AD7ED0 0x08AD8400 asm/krawall/us/patterns/KrawallPattern200.bin KrawallPattern200
0x08AD8400 0x08AD88D8 asm/krawall/us/patterns/KrawallPattern201.bin KrawallPattern201
0x08AD88D8 0x08AD8DAC asm/krawall/us/patterns/KrawallPattern202.bin KrawallPattern202
0x08AD8DAC 0x08AD921C asm/krawall/us/patterns/KrawallPattern203.bin KrawallPattern203
0x08AD921C 0x08AD9620 asm/krawall/us/patterns/KrawallPattern204.bin KrawallPattern204
0x08AD9620 0x08AD98A0 asm/krawall/us/patterns/KrawallPattern205.bin KrawallPattern205
0x08AD98A0 0x08AD9BA4 asm/krawall/us/patterns/KrawallPattern206.bin KrawallPattern206
0x08AD9BA4 0x08AD9F88 asm/krawall/us/patterns/KrawallPattern207.bin KrawallPattern207
0x08AD9F88 0x08ADA344 asm/krawall/us/patterns/KrawallPattern208.bin KrawallPattern208
0x08ADA344 0x08ADA7BC asm/krawall/us/patterns/KrawallPattern209.bin KrawallPattern209
0x08ADA7BC 0x08ADA950 asm/krawall/us/modules/KrawallModule18.bin KrawallModule18
0x08ADA950 0x08ADAE5C asm/krawall/us/patterns/KrawallPattern210.bin KrawallPattern210
0x08ADAE5C 0x08ADB2F4 asm/krawall/us/patterns/KrawallPattern211.bin KrawallPattern211
0x08ADB2F4 0x08ADB674 asm/krawall/us/patterns/KrawallPattern212.bin KrawallPattern212
0x08ADB674 0x08ADBA84 asm/krawall/us/patterns/KrawallPattern213.bin KrawallPattern213
0x08ADBA84 0x08ADBD9C asm/krawall/us/patterns/KrawallPattern214.bin KrawallPattern214
0x08ADBD9C 0x08ADC0D8 asm/krawall/us/patterns/KrawallPattern215.bin KrawallPattern215
0x08ADC0D8 0x08ADC49C asm/krawall/us/patterns/KrawallPattern216.bin KrawallPattern216
0x08ADC49C 0x08ADC7CC asm/krawall/us/patterns/KrawallPattern217.bin KrawallPattern217
0x08ADC7CC 0x08ADCB38 asm/krawall/us/patterns/KrawallPattern218.bin KrawallPattern218
0x08ADCB38 0x08ADCE1C asm/krawall/us/patterns/KrawallPattern219.bin KrawallPattern219
